1.368605035776115475e+00 7.146641171130965198e-01 1.819696683578297502e+00
1.558388125846972283e-01 2.884857003287278232e+00 3.231378962668495447e+00
2.471629608215700102e+00 6.383832174707043450e+00 9.218091624865866862e+00
2.495789467574331510e+00 6.357158911470850882e+00 8.064434328746170166e+00
8.193093255696219934e-01 3.053382401138764912e+00 2.518122907476733729e+00
6.189142874484208079e-01 1.696893371171291909e-01 6.754435072546544072e-01
1.102603898441663288e+00 3.854091491280107196e-01 5.822372614298454430e-01
6.906052187307645251e-01 3.652641987593217010e+00 2.795186904671467687e+00
5.422912700765644134e-01 8.166532431365425282e-01 1.225437068742964541e+00
1.440646055980328910e+00 2.546860868833231706e+00 2.614314478783704043e+00
2.401576989665145767e+00 5.839103416766843857e+00 8.942995274810234818e+00
1.080763172919903203e+00 3.171891416494620586e+00 2.496446301195424766e+00
2.100735852626173461e+00 3.414996247301037346e+00 2.851182906698409347e+00
3.692096331809803900e+00 5.592777106933807474e+00 3.413275949648429730e+00
3.604242927212175651e-01 1.134817520052417983e+00 6.660113018031531551e-01
3.052587906806135898e+00 5.545976903801248525e+00 5.171499855001581381e+00
2.434036216690455223e+00 5.953360654337930491e+00 5.312497493632349688e+00
2.933159154431186799e+00 6.447544024202375823e+00 4.918082160926042334e+00
1.780628492652585271e+00 6.092062016804537627e+00 8.892541094728589002e+00
-2.038198446698114008e-01 2.996559617790606200e+00 2.801116377189284634e+00
1.585905935173468784e+00 2.990702425157646616e+00 3.098287430712679313e+00
1.532656560645833999e+00 2.618767477015395251e+00 2.985913270011304466e+00
3.503122589323163893e+00 6.235614654241700805e+00 5.217344185138679258e+00
3.296675821774648796e+00 5.924567432316941051e+00 5.750788789559993397e+00
2.489337295555155372e+00 5.880572584763237742e+00 5.726577587262297264e+00
5.109186413143831373e-01 5.540461830179328473e-01 1.835791905203030261e-01
1.621282089342371391e+00 7.180457787289142857e+00 7.605926874371565560e+00
-2.882803712272703489e-01 2.824541166979753992e+00 2.700550045282625877e+00
2.103602772131591969e+00 5.744167216822689603e+00 7.938220306571225571e+00
1.537610291605943313e+00 1.080971037075323604e+00 1.122677369179007068e+00
1.580858045308886961e+00 5.945674253622383887e-01 1.502698289611383853e+00
1.765481990522840938e+00 1.155441461283729154e+00 1.214345276637575965e+00
2.381566292350383751e+00 5.323307222172792841e+00 8.416939789719549481e+00
3.896182662918893591e+00 5.134977063707690803e+00 5.053219061356550412e+00
5.402243200024976488e-01 6.192228825846900264e+00 8.021857060412985518e+00
1.328121956444190399e+00 1.718806927789470418e+00 8.995712266052395822e-01
-3.241499029739938198e-01 2.693362042445794469e+00 3.421732556747193232e+00
2.417859926799037495e+00 6.140087261099935745e+00 4.417958644496239096e+00
